Mês,Ingressos_Vestibular
0,3145
1,2458
2,3014
3,1896
4,2532
5,1656
6,2652
7,1246
8,2487
9,1209
10,2439
11,1111
12,2476
13,815
14,2285
15,1491
16,2829
17,1476
